office_id,action,impact
sheriff,Update Fee Schedule,Raise civil process to $65 = +$225K revenue
sheriff,Court Security Grant,Apply for AOPC security grant = +$150K
sheriff,Overtime Management,Shift scheduling optimization = -$50K
sheriff,Fleet Consolidation,Reduce to 24 vehicles = -$40K
sheriff,Reclassify Miscellaneous,Require line-item detail per §1720
da,Expert Witness Pool,Pre-negotiate rates with expert panel = -$75K
da,Forfeiture Fund Audit,Full reconciliation per PA Act 13 requirements
da,Grant Maximization,Apply for COPS grant = +$200K
da,Software RFP,Rebid case management = -$25K
da,ARD Fee Review,Compare to neighboring counties (Lehigh: $350 Monroe: $400)
coroner,Join Regional Autopsy Consortium,Lehigh/Monroe partnership = -$35K
coroner,Update Cremation Fee,Raise to $35 (state avg) = +$39K
coroner,Standardize PT Pay,Single rate for all PT deputies = clarity
coroner,Toxicology RFP,Competitive bid for lab services = -$15K
coroner,Body Removal Backup,Add secondary vendor for continuity
