id,type,title,dept,posted,deadline,urgent,featured
1,bid,RFP: County IT Infrastructure Modernization,Information Technology,2026-01-10,2026-01-24,0,1
2,hearing,2026 Budget Amendment Public Hearing,County Council,2026-01-15,2026-01-28,0,0
3,job,County Controller - Vacancy Appointment,County Council,2026-01-06,2026-01-31,1,1
4,bid,Bridge Repair - Route 248 Overpass,Public Works,2026-01-12,2026-02-05,0,0
5,ordinance,Ordinance 2026-03: Short-Term Rental Regulations,County Council,2026-01-08,2026-02-08,0,0
6,meeting,County Council Regular Meeting,County Council,2026-01-18,2026-01-23,0,0
7,job,Assistant District Attorney - Criminal Division,District Attorney,2026-01-14,2026-02-14,0,0
8,bid,Janitorial Services - Government Center,General Services,2026-01-11,2026-01-30,0,0
9,election,School Board Election - Petition Filing Deadline,Elections,2026-01-05,2026-02-18,0,0
10,hearing,Zoning Variance - 123 Main Street,Planning & Zoning,2026-01-16,2026-01-30,0,0
