office_id,item,detail
sheriff,Overtime ($310K),4.3% of personnel - court scheduling creates predictable OT. Compare to 3% benchmark.
sheriff,Health Insurance ($18K/emp),County-wide rate. State avg is $15K. Potential savings via consortium.
sheriff,Miscellaneous Operating ($192K),13% of operating budget unclassified - needs detailed breakdown.
sheriff,Fleet Cost ($10.2K/unit),Above benchmark of $8.5K. Review maintenance contracts.
sheriff,Civil Process Revenue,Fee schedule last updated 2019. Market rate is $65-75/service.
da,Expert Witness Costs ($285K),23% of operating budget. No competitive bidding on expert contracts. Rate varies $150-$500/hr.
da,Asset Forfeiture Accounting,$520K revenue but separate fund not reconciled quarterly. PA Act 13 compliance unclear.
da,ADA Salaries ($72K avg),Below market ($82K regional avg). May affect retention/recruitment.
da,Grant Compliance,VOCA grant requires 20% match - verify local match documentation.
da,Case Management Software ($95K),Contract last bid 2018. Market has changed significantly.
coroner,Autopsy Contract ($2000/each),Lehigh County pays $1650 through regional consortium. No competitive bid since 2017.
coroner,PT Deputy Coverage,8 part-time deputies with varying hourly rates ($18-$35/hr). No standardization.
coroner,Cremation Permit Fee ($20),Below state average of $35. Fee hasn't changed since 2012.
coroner,Body Removal,Single vendor contract no backup. Risk of service disruption.
coroner,Toxicology ($65K),NMS Labs contract not competitively bid. LabCorp may be cheaper.
