id,description
1,"Seeking proposals for comprehensive IT infrastructure upgrade including network, security systems, and cloud migration. Estimated project value: $2.5M over 3 years."
2,"Public hearing on proposed budget amendments for human services funding. Citizens may provide testimony in person or submit written comments."
3,"The position of County Controller is vacant following the election of Tara Zrinski as County Executive. County Council is accepting applications for appointment to fill the remainder of the term."
4,"Sealed bids for structural repairs to the Route 248 overpass bridge. Pre-bid meeting required. Prevailing wage applies."
5,"Proposed ordinance establishing registration requirements and safety standards for short-term rental properties. 30-day public comment period."
6,"Regular meeting of County Council. Agenda includes Controller appointment discussion, budget amendments, and zoning appeals."
7,"Full-time position prosecuting felony cases. JD required, 2+ years criminal law experience preferred. Salary range: $65,000-$85,000."
8,"3-year contract for janitorial services at the Government Center complex. Includes daily cleaning, floor maintenance, and window washing."
9,"Candidates for school board positions must file nomination petitions by February 18, 2026. Petition forms available at the Elections Office."
10,"Public hearing on variance request for mixed-use development. Applicant seeks exception to height restrictions. Public comment welcome."
